Year,Business Visitors,Holiday Visitors,Average Length of Stay,Other Visitors,Total Visitor Spend,Spend Per Day,Total Visitor Days,Total Visitor Arrivals,VFR,Country
1994,499,914,29.2,453,,,69394,2373,507,India
1995,510,1193,42.7,699,,,136718,3202,800,India
1996,624,1917,28.2,836,,,120467,4269,892,India
1997,691,2117,32.9,844,,,156637,4764,1112,India
1998,597,2484,35.4,1095,,,188075,5316,1140,India
1999,911,3100,34.8,1068,,,229666,6604,1525,India
2000,803,4364,38.2,1226,,,318692,8333,1941,India
2001,1034,6253,44.6,2453,,,564520,12667,2927,India
2002,1131,8560,45.4,3311,,,784511,17274,4272,India
2003,987,6899,52.6,2079,,,778807,14804,4839,India
2004,1300,6855,52.3,1952,,,825609,15779,5671,India
2005,1210,8241,47.9,2888,,,857646,17891,5552,India
2006,1608,9699,44.2,3040,,,900819,20362,6016,India
2007,1417,9599,46.2,4382,,,1013956,21945,6547,India
2008,2015,9498,48.9,4866,,,1171531,23961,7583,India
2009,2159,12111,46.2,4281,,,1174688,25449,6898,India
2010,1984,14306,40.7,5362,,,1207979,29649,7997,India
2011,1649,12917,43.7,5619,,,1238972,28342,8157,India
2012,1927,14953,39.6,5043,,,1186390,29970,8048,India
2013,2116,14729,42.9,5183,,,1332612,31060,9032,India
2014,2084,17302,50.3,6793,,,1884398,37442,11264,India
2015,2514,22244,48.6,7944,,,2236152,46041,13339,India
2016,2420,25893,47.1,7867,,,2455955,52094,15914,India
2017,2615,28881,50.5,9563,,,3108614,61609,20550,India
2018,2839,32667,50.4,10417,,,3497781,69383,23460,India
2019,3019,35818,50.7,11169,,,3842972,75780,25775,India
2020,3176,38952,51,12124,,,4187779,82189,27938,India
2021,3342,42254,51.1,13057,,,4532378,88611,29958,India
2022,3494,45495,51.3,13987,,,4876951,95046,32071,India
2023,3647,48823,51.4,14929,,,5221675,101494,34095,India
2024,3798,52156,51.6,15877,,,5566715,107955,36123,India
1979,120,960,15.9,216,,,23332,1468,172,Indonesia
1980,200,1112,16.8,188,,,28452,1696,196,Indonesia
1981,185,1157,16.2,256,,,29152,1794,196,Indonesia
1982,144,1169,21.6,168,,,37930,1753,272,Indonesia
1983,136,1096,21.7,196,,,35500,1636,208,Indonesia
1984,160,1224,19.4,204,,,35660,1840,252,Indonesia
1985,188,1440,19.6,144,,,40021,2041,269,Indonesia
1986,227,1908,18.4,199,,,47508,2587,253,Indonesia
1987,154,2160,18.2,242,,,51711,2849,293,Indonesia
1988,249,3400,15.4,398,,,68518,4457,410,Indonesia
1989,312,2821,14.7,442,,,60503,4124,549,Indonesia
1990,303,3755,16.1,374,,,80210,4974,542,Indonesia
1991,310,4018,14.1,715,,,80046,5658,615,Indonesia
1992,460,5163,15.2,960,,,109818,7204,621,Indonesia
1993,345,7598,13.6,825,,,132219,9720,952,Indonesia
1994,372,9176,15,1199,,,178479,11878,1131,Indonesia
1995,565,9568,14,1701,,,180601,12934,1100,Indonesia
1996,531,9410,15.3,1455,,,196345,12820,1424,Indonesia
1997,672,8185,18.3,1535,,,220365,12027,1635,Indonesia
1998,497,3486,26.6,881,,,175291,6583,1718,Indonesia
1999,474,3118,23.5,1083,,,145578,6208,1533,Indonesia
2000,641,6008,17.1,918,,,154991,9058,1492,Indonesia
2001,573,6037,19.7,1243,,,190243,9657,1804,Indonesia
2002,549,4980,24.1,1141,,,198830,8250,1580,Indonesia
2003,617,5045,18.5,1119,,,158047,8566,1785,Indonesia
2004,829,4190,21,1056,,,169338,8058,1983,Indonesia
2005,608,3899,21.1,1026,,,153087,7261,1727,Indonesia
2006,743,2916,30.1,1307,,,209420,6963,1997,Indonesia
2007,613,3385,31.7,2016,,,247001,7791,1777,Indonesia
2008,681,3611,31.4,1440,,,238442,7605,1873,Indonesia
2009,852,4836,25.6,1988,,,244043,9549,1873,Indonesia
2010,674,5490,23.5,1761,,,231021,9843,1918,Indonesia
2011,772,6821,21.9,1843,,,251464,11483,2046,Indonesia
2012,787,7599,17.4,1880,,,214583,12305,2040,Indonesia
2013,658,8946,18.8,2230,,,259024,13742,1908,Indonesia
2014,816,10253,18.8,2116,,,287359,15316,2132,Indonesia
2015,800,10730,19.6,2194,,,317390,16190,2466,Indonesia
2016,946,13465,16,2516,,,315341,19668,2741,Indonesia
2017,979,17244,17.5,2968,,,419520,23935,2744,Indonesia
2018,932,22084,18.5,2936,,,531353,28711,2759,Indonesia
2019,1017,25805,18.8,3236,,,619957,33004,2946,Indonesia
2020,1056,28800,19,3428,,,690006,36304,3020,Indonesia
2021,1092,31794,19.1,3615,,,756231,39580,3080,Indonesia
2022,1133,35034,19.2,3825,,,827704,43142,3150,Indonesia
2023,1170,38204,19.2,4025,,,897008,46600,3201,Indonesia
2024,1211,41595,19.3,4245,,,971203,50311,3261,Indonesia
1979,2640,11452,9.3,1356,,,145528,15724,276,Japan
1980,3288,14056,11.5,1460,,,219836,19196,392,Japan
1981,3508,20404,9.7,1420,,,249320,25736,404,Japan
1982,3593,21844,9,1536,,,244760,27333,360,Japan
1983,4088,26548,9.9,1345,,,320464,32481,500,Japan
1984,4856,35148,8.9,1432,,,374048,41888,452,Japan
1985,5480,42464,9.2,1608,,,464908,50264,712,Japan
1986,5544,54111,12.1,2144,,,757662,62656,857,Japan
1987,5756,65094,11.2,4114,,,852088,76150,1186,Japan
1988,5924,80469,12.2,5546,,,1142120,93789,1850,Japan
1989,6391,82625,11.3,6359,,,1102460,97322,1947,Japan
1990,6372,91274,11.2,7747,,,1205033,107840,2447,Japan
1991,5806,98151,11.3,7754,,,1298393,114718,3007,Japan
1992,5148,112798,11.3,7556,,,1456413,128962,3460,Japan
1993,5211,120342,12.5,6271,,,1699407,135934,4110,Japan
1994,6110,130136,12.7,7513,,,1884087,148162,4403,Japan
1995,6076,132630,13.4,7372,,,2025050,151543,5465,Japan
1996,6050,144688,13.8,8499,,,2279431,165014,5777,Japan
1997,5626,140313,14.6,8785,,,2347177,161055,6331,Japan
1998,5776,133089,14.6,7035,,,2230810,152997,7097,Japan
1999,5665,125535,15.3,8370,681416865,448.44,2249801,147362,7792,Japan
2000,6399,127790,15.6,8303,779201624,588.06,2362447,151564,9072,Japan
2001,5670,123563,16.6,10183,671839206,448.51,2482554,149114,9698,Japan
2002,6452,143001,15.6,11973,779852826,441.45,2704740,173563,12137,Japan
2003,7113,120948,17.9,11189,490982163,312.9,2704629,150979,11729,Japan
2004,7026,131682,15.2,13100,555488868,358.16,2521023,165982,14174,Japan
2005,7580,122690,14.3,13020,492033773,375.86,2236322,156075,12785,Japan
2006,6409,106324,15,12544,419601700,340.13,2055334,137135,11858,Japan
2007,5682,95957,15,10668,392157801,410.62,1830608,122165,9858,Japan
2008,6089,77026,16.4,10716,436674215,327.73,1690284,102950,9119,Japan
2009,5036,56650,17.3,8603,322275132,355.06,1361889,78772,8483,Japan
2010,5924,63396,16.7,10538,288811845,400.46,1471058,88228,8370,Japan
2011,4698,45550,18.7,9835,221995507,338.22,1296318,69156,9073,Japan
2012,5251,47849,18.4,10567,226713771,282.04,1327758,72357,8690,Japan
2013,4926,48343,17.8,13187,214154879,264.57,1333410,74766,8311,Japan
2014,5912,51494,17.5,14868,199351973,150.03,1422033,81247,8973,Japan
2015,6070,58479,16.5,14204,233848452,132.03,1441911,87400,8647,Japan
2016,6329,70132,15.8,15047,287449094,222.97,1599186,100901,9392,Japan
2017,6627,68234,15.8,16286,271011525,199.65,1612029,102330,11183,Japan
2018,6285,74678,15.6,16002,295445129,201.18,1676715,107723,10758,Japan
2019,6391,79339,15.6,16594,316007106,209.71,1762144,113170,10846,Japan
2020,6551,83911,15.6,17317,330633064,210.38,1850934,118867,11088,Japan
2021,6650,88402,15.6,17964,343857538,208.66,1934647,124231,11216,Japan
2022,6724,93220,15.6,18610,354105958,211.03,2021950,129822,11269,Japan
2023,6844,97871,15.6,19235,361122361,212.65,2109080,135399,11448,Japan
2024,7004,102186,15.6,19863,368343164,213.18,2193700,140810,11757,Japan
1979,272,96,13.3,184,,,7556,568,16,Korea
1980,196,100,31.5,168,,,15744,500,36,Korea
1981,208,220,11.1,256,,,7936,716,32,Korea
1982,392,176,40.9,132,,,30136,736,36,Korea
1983,592,360,53.8,268,,,67296,1252,32,Korea
1984,336,292,39.3,328,,,40372,1028,72,Korea
1985,440,476,18.3,180,,,20912,1140,44,Korea
1986,405,434,35.8,238,,,40891,1141,64,Korea
1987,616,813,38.3,545,,,77255,2018,44,Korea
1988,522,1317,29,515,,,71833,2473,119,Korea
1989,491,1377,39.1,814,,,111308,2845,163,Korea
1990,753,1923,44.8,1285,,,187351,4184,223,Korea
1991,795,4385,19.7,844,,,125363,6369,345,Korea
1992,851,10141,12.6,1191,,,160941,12757,574,Korea
1993,1229,23148,9.5,1704,,,260838,27340,1259,Korea
1994,2258,53218,8.2,2899,,,505942,61583,3208,Korea
1995,2514,91540,8.3,4526,,,871484,104389,5809,Korea
1996,2505,110262,8.7,7025,,,1110330,127356,7564,Korea
1997,2300,92263,9.6,5708,,,1034488,108272,8001,Korea
1998,1320,9326,24.3,1714,,,430217,17692,5331,Korea
1999,2022,29445,17.9,3984,102722020,325.13,773735,43244,7793,Korea
2000,2187,47117,18,5986,155601085,447.07,1199069,66674,11384,Korea
2001,2473,58532,22.3,8465,207799066,165.84,1944573,87187,17716,Korea
2002,3383,72585,21.3,11845,263260647,221.56,2341381,109936,22123,Korea
2003,3120,75428,19.5,10266,384866525,246.38,2202670,112755,23941,Korea
2004,2943,80502,15.9,9311,293058425,298.42,1819682,114547,21791,Korea
2005,3325,79859,15.5,11673,259949992,213.97,1746958,112844,17988,Korea
2006,3145,77910,17.1,14160,259646901,250.55,1919109,111934,16719,Korea
2007,2804,69315,18.6,12912,255089318,285.57,1858558,99870,14839,Korea
2008,2836,50396,22.7,12254,203304135,228.58,1806462,79412,13926,Korea
2009,2419,28676,27.5,10575,145700389,127.9,1461344,53157,11487,Korea
2010,2462,41337,23.4,11180,129674373,216.66,1586677,67685,12705,Korea
2011,2525,33189,22.2,8198,154696366,349.21,1174935,52936,9024,Korea
2012,2312,34721,20.2,7565,123707753,278.3,1069914,53093,8495,Korea
2013,2229,33551,20.3,7267,132175457,269.76,1037314,51133,8086,Korea
2014,2564,36803,18.4,8106,145445339,256.76,1020723,55564,8091,Korea
2015,2402,44421,18.5,9160,163920185,184.93,1206341,65045,9062,Korea
2016,2260,59686,17.3,10015,298829690,415.26,1424624,82507,10545,Korea
2017,3128,66381,15.5,9946,223645206,245.06,1412811,91424,11969,Korea
2018,2745,73071,15.5,10833,283923037,310.3,1530341,98780,12132,Korea
2019,2856,78348,15.5,11318,307449171,310.64,1629420,105204,12683,Korea
2020,3174,83194,15.5,11625,329382072,310.94,1718044,111014,13022,Korea
2021,3138,87256,15.5,11837,347689223,311.23,1787795,115491,13260,Korea
2022,3197,90541,15.5,11911,363341046,311.47,1840140,118991,13342,Korea
2023,3361,93744,15.4,11970,379114488,311.68,1892175,122483,13408,Korea
2024,3355,97203,15.4,12046,395399462,311.87,1946012,126095,13492,Korea
1979,9640,37268,29.4,15580,,,2387308,78332,15844,Other excl India and Indonesia
